posts,language,query,time
400,SQL with joins,one blogpost,0.004312499999997499
400,SQL Materialized View,one blogpost,0.0017515000000116743
400,SQL without joins,one blogpost,0.0014874999999960892
400,SQL without joins,one blogpost,0.0015900999999871601
400,SQL without joins,one blogpost,0.0011887000000001535
400,MongoDB,one blogpost,6.51999999945474e-05
400,SQL with joins,one blogpost,0.004596399999996947
400,SQL Materialized View,one blogpost,0.0018489999999928841
400,SQL without joins,one blogpost,0.0015883000000087577
400,SQL without joins,one blogpost,0.0015693999999939479
400,SQL without joins,one blogpost,0.0013216000000113581
400,MongoDB,one blogpost,5.9800000002496745e-05
400,SQL with joins,one blogpost,0.004449700000009216
400,SQL Materialized View,one blogpost,0.001978799999989178
400,SQL without joins,one blogpost,0.0017698000000052616
400,SQL without joins,one blogpost,0.0015623999999831995
400,SQL without joins,one blogpost,0.0013119999999844367
400,MongoDB,one blogpost,5.129999999553547e-05
400,SQL,by tag,0.0030045999999970263
400,SQL Materialized View,by tag,0.001652599999999893
400,MongoDB,by tag,4.690000000096006e-05
400,SQL,by tag,0.002793200000013485
400,SQL Materialized View,by tag,0.0015504000000134965
400,MongoDB,by tag,4.820000000904656e-05
400,SQL,by tag,0.0025390000000129476
400,SQL Materialized View,by tag,0.0033523000000172942
400,MongoDB,by tag,4.7899999998435305e-05
400,SQL,by tag,0.003136000000012018
400,SQL Materialized View,by tag,0.001786700000025121
400,MongoDB,by tag,4.890000002433226e-05
400,SQL,by tag,0.002821899999986499
400,SQL Materialized View,by tag,0.0015992999999809854
400,MongoDB,by tag,5.55999999960477e-05
400,SQL,by comment author,0.0021911000000045533
400,SQL with Index,by comment author,0.0022988999999995485
400,MongoDB,by comment author,4.710000001750814e-05
400,SQL,by comment author,0.002278799999999137
400,SQL with Index,by comment author,0.0030482999999890126
400,MongoDB,by comment author,7.289999999215979e-05
400,SQL,by comment author,0.0026809000000014294
400,SQL with Index,by comment author,0.0017221000000233744
400,MongoDB,by comment author,6.779999998229869e-05
400,SQL,by comment author,0.0020810999999980595
400,SQL with Index,by comment author,0.0021329999999863958
400,MongoDB,by comment author,5.0600000008671486e-05
400,SQL,by comment author,0.0021725000000003547
400,SQL with Index,by comment author,0.001490499999988515
400,MongoDB,by comment author,5.0500000014608304e-05
800,SQL with joins,one blogpost,0.006600499999990461
800,SQL Materialized View,one blogpost,0.0018026000000190834
800,SQL without joins,one blogpost,0.001393800000016654
800,SQL without joins,one blogpost,0.0020496999999863874
800,SQL without joins,one blogpost,0.0011461999999937689
800,MongoDB,one blogpost,5.609999999478532e-05
800,SQL with joins,one blogpost,0.004897100000050614
800,SQL Materialized View,one blogpost,0.0017584000000283595
800,SQL without joins,one blogpost,0.0015819000000192318
800,SQL without joins,one blogpost,0.0019948999999996886
800,SQL without joins,one blogpost,0.001187500000014552
800,MongoDB,one blogpost,4.8800000001847366e-05
800,SQL with joins,one blogpost,0.004641700000036053
800,SQL Materialized View,one blogpost,0.003244199999983266
800,SQL without joins,one blogpost,0.0013973000000078173
800,SQL without joins,one blogpost,0.0019915999999966516
800,SQL without joins,one blogpost,0.001299899999992249
800,MongoDB,one blogpost,4.780000000437212e-05
800,SQL with joins,one blogpost,0.006233599999973194
800,SQL Materialized View,one blogpost,0.0021393999999759217
800,SQL without joins,one blogpost,0.0014890999999579435
800,SQL without joins,one blogpost,0.0020316999999749896
800,SQL without joins,one blogpost,0.0013038000000165084
800,MongoDB,one blogpost,5.1000000041767635e-05
800,SQL with joins,one blogpost,0.005203499999993255
800,SQL Materialized View,one blogpost,0.0016046000000073946
800,SQL without joins,one blogpost,0.0014287000000194894
800,SQL without joins,one blogpost,0.0020334999999818137
800,SQL without joins,one blogpost,0.0012022999999885542
800,MongoDB,one blogpost,4.8699999979362474e-05
800,SQL,by tag,0.003118599999993421
800,SQL Materialized View,by tag,0.0016416000000276654
800,MongoDB,by tag,5.42999999879612e-05
800,SQL,by tag,0.0027430999999751293
800,SQL Materialized View,by tag,0.0027000000000043656
800,MongoDB,by tag,4.9199999978100095e-05
800,SQL,by tag,0.0027181000000382483
800,SQL Materialized View,by tag,0.0018929999999954816
800,MongoDB,by tag,4.849999999123611e-05
800,SQL,by tag,0.0032463000000007014
800,SQL Materialized View,by tag,0.0025115999999911764
800,MongoDB,by tag,4.9600000011196244e-05
800,SQL,by tag,0.0026656000000002678
800,SQL Materialized View,by tag,0.002517400000044745
800,MongoDB,by tag,5.1000000041767635e-05
800,SQL,by comment author,0.0032823999999891385
800,SQL with Index,by comment author,0.001555399999972451
800,MongoDB,by comment author,4.899999998997373e-05
800,SQL,by comment author,0.0025224999999977626
800,SQL with Index,by comment author,0.001795399999991787
800,MongoDB,by comment author,4.819999998062485e-05
800,SQL,by comment author,0.0025567999999793756
800,SQL with Index,by comment author,0.0017758999999841762
800,MongoDB,by comment author,5.0899999962439324e-05
800,SQL,by comment author,0.002733799999987241
800,SQL with Index,by comment author,0.0034246999999822947
800,MongoDB,by comment author,5.649999997103805e-05
800,SQL,by comment author,0.0027216000000294116
800,SQL with Index,by comment author,0.0016339999999672727
800,MongoDB,by comment author,4.799999999249849e-05
1600,SQL with joins,one blogpost,0.01118250000001808
1600,SQL Materialized View,one blogpost,0.0016726999999718828
1600,SQL without joins,one blogpost,0.001393699999994169
1600,SQL without joins,one blogpost,0.0032216000000744316
1600,SQL without joins,one blogpost,0.0012743999999429434
1600,MongoDB,one blogpost,4.930000000058499e-05
1600,SQL with joins,one blogpost,0.00758229999996729
1600,SQL Materialized View,one blogpost,0.0016910000000507353
1600,SQL without joins,one blogpost,0.001435000000014952
1600,SQL without joins,one blogpost,0.00317450000000008
1600,SQL without joins,one blogpost,0.0014810999999781416
1600,MongoDB,one blogpost,4.939999996622646e-05
1600,SQL with joins,one blogpost,0.009399000000030355
1600,SQL Materialized View,one blogpost,0.0022261000000298736
1600,SQL without joins,one blogpost,0.0014756000000488712
1600,SQL without joins,one blogpost,0.0032542999999805033
1600,SQL without joins,one blogpost,0.0016361000000415515
1600,MongoDB,one blogpost,4.90999999556152e-05
1600,SQL with joins,one blogpost,0.009437700000034965
1600,SQL Materialized View,one blogpost,0.002031999999985601
1600,SQL without joins,one blogpost,0.001426700000024539
1600,SQL without joins,one blogpost,0.0032478000000537577
1600,SQL without joins,one blogpost,0.0014138999999886437
1600,MongoDB,one blogpost,4.999999998744897e-05
1600,SQL with joins,one blogpost,0.008407600000055027
1600,SQL Materialized View,one blogpost,0.0020293000000037864
1600,SQL without joins,one blogpost,0.001410700000064935
1600,SQL without joins,one blogpost,0.0033214999999700012
1600,SQL without joins,one blogpost,0.0014628999999786174
1600,MongoDB,one blogpost,4.769999998188723e-05
1600,SQL,by tag,0.0036157000000685002
1600,SQL Materialized View,by tag,0.0017777000000478438
1600,MongoDB,by tag,4.9200000034943514e-05
1600,SQL,by tag,0.002807700000062141
1600,SQL Materialized View,by tag,0.0016344000000572123
1600,MongoDB,by tag,4.890000002433226e-05
1600,SQL,by tag,0.002780499999971653
1600,SQL Materialized View,by tag,0.0016532999999299136
1600,MongoDB,by tag,4.930000000058499e-05
1600,SQL,by tag,0.0035746999999446416
1600,SQL Materialized View,by tag,0.0015779999999949723
1600,MongoDB,by tag,5.0600000008671486e-05
1600,SQL,by tag,0.0027669999999488937
1600,SQL Materialized View,by tag,0.0018482000000403787
1600,MongoDB,by tag,4.890000002433226e-05
1600,SQL,by comment author,0.0034908999999743173
1600,SQL with Index,by comment author,0.0017077999999628446
1600,MongoDB,by comment author,4.99000000218075e-05
1600,SQL,by comment author,0.003473900000017238
1600,SQL with Index,by comment author,0.0017665000000306463
1600,MongoDB,by comment author,4.90999999556152e-05
1600,SQL,by comment author,0.0033808000000590255
1600,SQL with Index,by comment author,0.0016153999999914959
1600,MongoDB,by comment author,5.5400000064764754e-05
1600,SQL,by comment author,0.003860300000042116
1600,SQL with Index,by comment author,0.002233499999988453
1600,MongoDB,by comment author,5.569999996168917e-05
1600,SQL,by comment author,0.00334700000007615
1600,SQL with Index,by comment author,0.0019559999999501088
1600,MongoDB,by comment author,5.3800000046067e-05
3200,SQL with joins,one blogpost,0.015534899999920526
3200,SQL Materialized View,one blogpost,0.001668999999992593
3200,SQL without joins,one blogpost,0.0013909000001604
3200,SQL without joins,one blogpost,0.005621000000019194
3200,SQL without joins,one blogpost,0.001981099999966318
3200,MongoDB,one blogpost,5.4899999895496876e-05
3200,SQL with joins,one blogpost,0.01052679999997963
3200,SQL Materialized View,one blogpost,0.0018685000000004948
3200,SQL without joins,one blogpost,0.0015144999999847641
3200,SQL without joins,one blogpost,0.005683099999941987
3200,SQL without joins,one blogpost,0.00166310000008707
3200,MongoDB,one blogpost,5.239999995865219e-05
3200,SQL with joins,one blogpost,0.00838819999989937
3200,SQL Materialized View,one blogpost,0.0017181000000618951
3200,SQL without joins,one blogpost,0.0016198000000713364
3200,SQL without joins,one blogpost,0.005589399999962552
3200,SQL without joins,one blogpost,0.0017190000000937289
3200,MongoDB,one blogpost,4.740000008496281e-05
